ID ,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
12682,2022,SE,FT,Analytics Engineer,184700,USD,184700,US,0,US,M
12683,2022,SE,FT,Data Engineer,175100,USD,175100,US,100,US,M
12684,2022,SE,FT,Data Engineer,140250,USD,140250,US,100,US,M
12685,2022,SE,FT,Data Analyst,116150,USD,116150,US,100,US,M
12686,2022,SE,FT,Data Engineer,54000,USD,54000,US,0,US,M
12687,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
12688,2022,MI,FT,Data Analyst,50000,GBP,65438,GB,0,GB,M
12689,2022,SE,FT,Data Analyst,80000,USD,80000,US,100,US,M
12690,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
12691,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
12692,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
12693,2022,SE,FT,Data Analyst,100000,USD,100000,US,100,US,M
12694,2022,SE,FT,Data Analyst,69000,USD,69000,US,100,US,M
12695,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
12696,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
12697,2022,SE,FT,Data Scientist,210000,USD,210000,US,100,US,M
12698,2022,SE,FT,Data Analyst,150075,USD,150075,US,100,US,M
12699,2022,SE,FT,Data Engineer,100000,USD,100000,US,100,US,M
12700,2022,SE,FT,Data Engineer,25000,USD,25000,US,100,US,M
12701,2022,SE,FT,Data Analyst,126500,USD,126500,US,100,US,M
12702,2022,SE,FT,Data Analyst,106260,USD,106260,US,100,US,M
12703,2022,SE,FT,Data Engineer,220110,USD,220110,US,100,US,M
12704,2022,SE,FT,Data Engineer,160080,USD,160080,US,100,US,M
12705,2022,SE,FT,Data Analyst,105000,USD,105000,US,100,US,M
12706,2022,SE,FT,Data Analyst,110925,USD,110925,US,100,US,M
12707,2022,MI,FT,Data Analyst,35000,GBP,45807,GB,0,GB,M
12708,2022,SE,FT,Data Scientist,140000,USD,140000,US,100,US,M
12709,2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M
